"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",403,4300,5300,7700,9300,17000,23000,28000,33000,68788
"GET /api/v1/emissions/",424,17000,27000,37000,42000,58000,78000,96000,112000,176413
"POST /api/v1/emissions/",8515,4100,5100,7200,9300,18000,26000,32000,37000,96703
"GET /api/v1/emissions/vehicles/431586f0-d19e-45f8-ab1f-784d22899ae7",82,14000,18000,36000,44000,55000,78000,96000,108000,107692
"GET /api/v1/emissions/vehicles/b5492d62-61ab-410c-8a0d-d4576f8970ae",101,16000,23000,29000,33000,51000,85000,97000,113000,123035
"GET /api/v1/emissions/vehicles/f69760aa-1f63-4d03-a588-552bb04a6813",99,19000,30000,38000,44000,66000,73000,96000,124000,123890
"GET /api/v1/emissions/vehicles/ffc8e318-d7e0-4d0b-ac2b-59d1fe42845c",88,14000,19000,25000,32000,44000,56000,117000,196000,195564
"GET /api/v1/emissions/vehicles/type/bus",90,16000,20000,27000,31000,52000,81000,101000,126000,126426
"GET /api/v1/emissions/vehicles/type/taxi",102,16000,24000,32000,39000,47000,64000,93000,105000,112362
"GET /api/v1/emissions/vehicles/type/train",93,15000,21000,32000,44000,61000,72000,91000,92000,91504
"GET /api/v1/emissions/vehicles/type/tram",75,15000,26000,33000,42000,60000,88000,101000,108000,108412
"None Total",10072,4300,6500,10000,13000,23000,31000,46000,65000,195564
