"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",33,320,520,790,870,1300,1300,1400,1400,1396
"GET /api/v1/emissions/",29,1000,1200,1500,1600,1900,1900,2000,2000,2014
"POST /api/v1/emissions/",908,1200,1700,1800,1900,2300,2500,2700,2900,4009
"GET /api/v1/emissions/vehicles/1cc2ed4f-4372-4854-b70c-3206c096b6e9",6,880,880,1100,1100,1300,1300,1300,1300,1258
"GET /api/v1/emissions/vehicles/46c791af-0ad0-4e65-9941-bbd8f6156acd",13,760,820,1000,1100,1400,1400,1400,1400,1435
"GET /api/v1/emissions/vehicles/b25e7f2c-d34e-4c6f-b4cc-c4fdb7ceecd6",10,1300,1300,1500,1500,1600,1600,1600,1600,1589
"GET /api/v1/emissions/vehicles/edfde841-177c-4ad9-b640-fbab1404ac79",10,630,1000,1000,1200,1300,1300,1300,1300,1266
"GET /api/v1/emissions/vehicles/type/bus",7,760,780,1300,1300,1400,1400,1400,1400,1399
"GET /api/v1/emissions/vehicles/type/taxi",5,1500,1600,1600,1600,1600,1600,1600,1600,1646
"GET /api/v1/emissions/vehicles/type/train",10,730,820,890,940,1200,1200,1200,1200,1237
"GET /api/v1/emissions/vehicles/type/tram",7,920,1000,1100,1100,1700,1700,1700,1700,1684
"None Total",1038,1100,1700,1800,1800,2300,2500,2600,2900,4009
