"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",180,300,550,990,1200,6000,7600,8000,8400,8431
"GET /api/v1/emissions/",168,970,1400,2000,4800,6700,8300,8800,8900,9157
"POST /api/v1/emissions/",4382,1100,6100,6800,7400,8200,8700,9000,9100,14210
"GET /api/v1/emissions/vehicles/1cc2ed4f-4372-4854-b70c-3206c096b6e9",42,820,970,1200,1600,5900,6400,8600,8600,8607
"GET /api/v1/emissions/vehicles/46c791af-0ad0-4e65-9941-bbd8f6156acd",49,1100,1800,2300,5800,6100,6300,8700,8700,8705
"GET /api/v1/emissions/vehicles/b25e7f2c-d34e-4c6f-b4cc-c4fdb7ceecd6",57,930,1100,1500,1600,4700,8200,8400,8800,8813
"GET /api/v1/emissions/vehicles/edfde841-177c-4ad9-b640-fbab1404ac79",39,900,1100,1300,1700,5800,6900,7100,7100,7089
"GET /api/v1/emissions/vehicles/type/bus",35,870,1500,5100,5900,7800,8700,8700,8700,8690
"GET /api/v1/emissions/vehicles/type/taxi",37,980,1200,1600,1800,6200,8200,8300,8300,8256
"GET /api/v1/emissions/vehicles/type/train",41,940,1300,1500,1700,6000,8000,9600,9600,9553
"GET /api/v1/emissions/vehicles/type/tram",45,890,1100,1400,1800,7100,8700,9600,9600,9571
"None Total",5075,1000,5800,6600,7200,8100,8600,9000,9100,14210
