"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",98,220,250,350,590,3500,4000,4100,5600,5577
"GET /api/v1/emissions/",88,690,840,990,1000,2900,4500,5800,6000,6040
"POST /api/v1/emissions/",2155,540,3200,3900,4100,4800,5500,5800,6000,7893
"GET /api/v1/emissions/vehicles/1cc2ed4f-4372-4854-b70c-3206c096b6e9",21,630,660,700,740,1600,4600,4700,4700,4675
"GET /api/v1/emissions/vehicles/46c791af-0ad0-4e65-9941-bbd8f6156acd",17,680,960,990,1100,1900,4000,4000,4000,3991
"GET /api/v1/emissions/vehicles/b25e7f2c-d34e-4c6f-b4cc-c4fdb7ceecd6",24,690,950,1100,1100,1300,1700,4400,4400,4358
"GET /api/v1/emissions/vehicles/edfde841-177c-4ad9-b640-fbab1404ac79",10,670,1200,3200,3700,4500,4500,4500,4500,4511
"GET /api/v1/emissions/vehicles/type/bus",26,930,1500,2900,3600,3900,4500,5300,5300,5347
"GET /api/v1/emissions/vehicles/type/taxi",25,690,750,790,1100,2800,4600,4700,4700,4716
"GET /api/v1/emissions/vehicles/type/train",14,690,1100,1200,3300,4000,4800,4800,4800,4752
"GET /api/v1/emissions/vehicles/type/tram",22,680,870,970,1100,3400,3500,5000,5000,5041
"None Total",2500,620,3100,3700,4000,4700,5400,5800,5900,7893
